id,framework,domain,sub_domain,control
ISM-1296,ISM,Facilities and systems,Physical access to network devices in public areas,Physical security is implemented to protect network devices in public areas from physical damage or unauthorised access.
ISM-1543,ISM,Facilities and systems,Bringing Radio Frequency and infrared devices into facilities,"An authorised RF and IR device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis."
ISM-0225,ISM,Facilities and systems,Bringing Radio Frequency and infrared devices into facilities,Unauthorised RF and IR devices are not brought into SECRET and TOP SECRET areas.
ISM-0829,ISM,Facilities and systems,Bringing Radio Frequency and infrared devices into facilities,Security measures are used to detect and respond to unauthorised RF devices in SECRET and TOP SECRET areas.
ISM-0164,ISM,Facilities and systems,Preventing observation by unauthorised people,"Unauthorised people are prevented from observing systems, in particular workstation displays and keyboards, within facilities."
ISM-0161,ISM,ICT equipment and media,Securing ICT equipment and media,ICT equipment and media are secured when not in use.
ISM-0252,ISM,Cyber security awareness training,Providing cyber security awareness training,Cyber security awareness training is undertaken annually by all personnel and covers: • the purpose of the cyber security awareness training • security appointments and contacts • authorised use of systems and their resources • protection of systems and their resources • reporting of cyber security incidents and suspected compromises of systems and their resources.
ISM-1565,ISM,Cyber security awareness training,Providing cyber security awareness training,Tailored privileged user training is undertaken annually by all privileged users.
ISM-1740,ISM,Cyber security awareness training,Managing and reporting suspicious changes to banking details or payment requests,"Personnel dealing with banking details and payment requests are advised of what business email compromise is, how to manage such situations and how to report it."
ISM-0817,ISM,Cyber security awareness training,Reporting suspicious contact via online services,Personnel are advised of what suspicious contact via online services is and how to report it.
ISM-0820,ISM,Cyber security awareness training,Posting work information to online services,Personnel are advised to not post work information to unauthorised online services and to report cases where such information is posted.
ISM-1146,ISM,Cyber security awareness training,Posting work information to online services,Personnel are advised to maintain separate work and personal accounts for online services.
ISM-0821,ISM,Cyber security awareness training,Posting personal information to online services,Personnel are advised of security risks associated with posting personal information to online services and are encouraged to use any available privacy settings to restrict who can view such information.
ISM-0824,ISM,Cyber security awareness training,Sending and receiving files via online services,Personnel are advised not to send or receive files via unauthorised online services.
ISM-1864,ISM,Access to systems and their resources,System usage policy,"A system usage policy is developed, implemented and maintained."
ISM-0432,ISM,Access to systems and their resources,System access requirements,Access requirements for a system and its resources are documented in its system security plan.
ISM-0434,ISM,Access to systems and their resources,System access requirements,"Personnel undergo appropriate employment screening and, where necessary, hold an appropriate security clearance before being granted access to a system and its resources."
ISM-0435,ISM,Access to systems and their resources,System access requirements,Personnel receive any necessary briefings before being granted access to a system and its resources.
ISM-1865,ISM,Access to systems and their resources,System access requirements,Personnel agree to abide by usage policies associated with a system and its resources before being granted access to the system and its resources.
ISM-0414,ISM,Access to systems and their resources,User identification,Personnel granted access to a system and its resources are uniquely identifiable.
ISM-0415,ISM,Access to systems and their resources,User identification,"The use of shared user accounts is strictly controlled, and personnel using such accounts are uniquely identifiable."
ISM-1583,ISM,Access to systems and their resources,User identification,Personnel who are contractors are identified as such.
ISM-0420,ISM,Access to systems and their resources,User identification,"Where a system processes, stores or communicates AUSTEO, AGAO or REL data, personnel who are foreign nationals are identified as such, including by their specific nationality."
ISM-0405,ISM,Access to systems and their resources,Unprivileged access to systems,"Requests for unprivileged access to systems, applications and data repositories are validated when first requested."
ISM-1852,ISM,Access to systems and their resources,Unprivileged access to systems,"Unprivileged access to systems, applications and data repositories is limited to only what is required for users and services to undertake their duties."
ISM-1566,ISM,Access to systems and their resources,Unprivileged access to systems,Use of unprivileged access is logged.
ISM-1714,ISM,Access to systems and their resources,Unprivileged access to systems,Unprivileged access event logs are stored centrally.
ISM-0409,ISM,Access to systems and their resources,Unprivileged access to systems by foreign nationals,"Foreign nationals, including seconded foreign nationals, do not have access to systems that process, store or communicate AUSTEO or REL data unless effective controls are in place to ensure such data is not accessible to them."
ISM-0411,ISM,Access to systems and their resources,Unprivileged access to systems by foreign nationals,"Foreign nationals, excluding seconded foreign nationals, do not have access to systems that process, store or communicate AGAO data unless effective controls are in place to ensure such data is not accessible to them."
ISM-1507,ISM,Access to systems and their resources,Privileged access to systems,Requests for privileged access to systems and applications are validated when first requested.
ISM-1733,ISM,Access to systems and their resources,Privileged access to systems,Requests for privileged access to data repositories are validated when first requested.
ISM-1508,ISM,Access to systems and their resources,Privileged access to systems,Privileged access to systems and applications is limited to only what is required for users and services to undertake their duties.
ISM-1853,ISM,Access to systems and their resources,Privileged access to systems,Privileged access to data repositories is limited to only what is required for users and services to undertake their duties.
ISM-1175,ISM,Access to systems and their resources,Privileged access to systems,"Privileged user accounts are prevented from accessing the internet, email and web services."
ISM-1653,ISM,Access to systems and their resources,Privileged access to systems,"Privileged service accounts are prevented from accessing the internet, email and web services."
ISM-1649,ISM,Access to systems and their resources,Privileged access to systems,Just-in-time administration is used for administering systems and applications.
ISM-0445,ISM,Access to systems and their resources,Privileged access to systems,Privileged users are assigned a dedicated privileged account to be used solely for duties requiring privileged access.
ISM-1263,ISM,Access to systems and their resources,Privileged access to systems,Unique privileged accounts are used for administering individual server applications.
ISM-1509,ISM,Access to systems and their resources,Privileged access to systems,Privileged access events are logged.
ISM-1651,ISM,Access to systems and their resources,Privileged access to systems,Privileged access event logs are stored centrally.
ISM-1650,ISM,Access to systems and their resources,Privileged access to systems,Privileged account and group management events are logged.
ISM-1652,ISM,Access to systems and their resources,Privileged access to systems,Privileged account and group management event logs are stored centrally.
ISM-0446,ISM,Access to systems and their resources,Privileged access to systems by foreign nationals,"Foreign nationals, including seconded foreign nationals, do not have privileged access to systems that process, store or communicate AUSTEO or REL data."
ISM-0447,ISM,Access to systems and their resources,Privileged access to systems by foreign nationals,"Foreign nationals, excluding seconded foreign nationals, do not have privileged access to systems that process, store or communicate AGAO data."
ISM-0430,ISM,Access to systems and their resources,Suspension of access to systems,"Access to systems, applications and data repositories is removed or suspended on the same day personnel no longer have a legitimate requirement for access."
ISM-1591,ISM,Access to systems and their resources,Suspension of access to systems,"Access to systems, applications and data repositories is removed or suspended as soon as practicable when personnel are detected undertaking malicious activities."
ISM-1404,ISM,Access to systems and their resources,Suspension of access to systems,Unprivileged access to systems and applications is automatically disabled after 45 days of inactivity.
ISM-1648,ISM,Access to systems and their resources,Suspension of access to systems,Privileged access to systems and applications is automatically disabled after 45 days of inactivity.
ISM-1716,ISM,Access to systems and their resources,Suspension of access to systems,Access to data repositories is automatically disabled after 45 days of inactivity.
ISM-1647,ISM,Access to systems and their resources,Suspension of access to systems,Privileged access to systems and applications is automatically disabled after 12 months unless revalidated.
ISM-1734,ISM,Access to systems and their resources,Suspension of access to systems,Privileged access to data repositories is automatically disabled after 12 months unless revalidated.
ISM-0407,ISM,Access to systems and their resources,Recording authorisation for personnel to access systems,"A secure record is maintained for the life of each system covering the following for each user: • their user identification • their signed agreement to abide by usage policies for the system and its resources • who provided authorisation for their access • when their access was granted • the level of access that they were granted • when their access, and their level of access, was last reviewed • when their level of access was changed, and to what extent (if applicable) • when their access was withdrawn (if applicable)."
ISM-0441,ISM,Access to systems and their resources,Temporary access to systems,"When personnel are granted temporary access to a system, effective controls are put in place to restrict their access to only data required for them to undertake their duties."
ISM-0443,ISM,Access to systems and their resources,Temporary access to systems,"Temporary access is not granted to systems that process, store or communicate caveated or sensitive compartmented information."
ISM-1610,ISM,Access to systems and their resources,Emergency access to systems,A method of emergency access to systems is documented and tested at least once when initially implemented and each time fundamental information technology infrastructure changes occur.
ISM-1611,ISM,Access to systems and their resources,Emergency access to systems,Break glass accounts are only used when normal authentication processes cannot be used.
ISM-1612,ISM,Access to systems and their resources,Emergency access to systems,Break glass accounts are only used for specific authorised activities.
ISM-1614,ISM,Access to systems and their resources,Emergency access to systems,Break glass account credentials are changed by the account custodian after they are accessed by any other party.
ISM-1615,ISM,Access to systems and their resources,Emergency access to systems,Break glass accounts are tested after credentials are changed.
ISM-1613,ISM,Access to systems and their resources,Emergency access to systems,Use of break glass accounts is logged.
ISM-1715,ISM,Access to systems and their resources,Emergency access to systems,Break glass event logs are stored centrally.
ISM-0078,ISM,Access to systems and their resources,Control of Australian systems,"Systems processing, storing or communicating AUSTEO or AGAO data remain at all times under the control of an Australian national working for or on behalf of the Australian Government."
ISM-0854,ISM,Access to systems and their resources,Control of Australian systems,AUSTEO and AGAO data can only be accessed from systems under the sole control of the Australian Government that are located within facilities authorised by the Australian Government.
ISM-0181,ISM,Cabling infrastructure,Cabling infrastructure standards,"Cabling infrastructure is installed in accordance with relevant Australian Standards, as directed by the Australian Communications and Media Authority."
ISM-1111,ISM,Cabling infrastructure,Use of fibre-optic cables,Fibre-optic cables are used for cabling infrastructure instead of copper cables.
ISM-0211,ISM,Cabling infrastructure,Cable register,"A cable register is developed, implemented, maintained and verified on a regular basis."
ISM-0208,ISM,Cabling infrastructure,Cable register,A cable register contains the following for each cable: • cable identifier • cable colour • sensitivity/classification • source • destination • location • seal numbers (if applicable).
ISM-1645,ISM,Cabling infrastructure,Floor plan diagrams,"Floor plan diagrams are developed, implemented, maintained and verified on a regular basis."
ISM-1646,ISM,Cabling infrastructure,Floor plan diagrams,Floor plan diagrams contain the following: • cable paths (including ingress and egress points between floors) • cable reticulation system and conduit paths • floor concentration boxes • wall outlet boxes • network cabinets.
ISM-0206,ISM,Cabling infrastructure,Cable labelling processes and procedures,"Cable labelling processes, and supporting cable labelling procedures, are developed, implemented and maintained."
ISM-1096,ISM,Cabling infrastructure,Labelling cables,Cables are labelled at each end with sufficient source and destination details to enable the physical identification and inspection of the cable.
ISM-1639,ISM,Cabling infrastructure,Labelling building management cables,"Building management cables are labelled with their purpose in black writing on a yellow background, with a minimum size of 2.5 cm x 1 cm, and attached at five-metre intervals."
ISM-1640,ISM,Cabling infrastructure,Labelling cables for foreign systems in Australian facilities,Cables for foreign systems installed in Australian facilities are labelled at inspection points.
ISM-1820,ISM,Cabling infrastructure,Cable colours,Cables for individual systems use a consistent colour.
ISM-0926,ISM,Cabling infrastructure,Cable colours,OFFICIAL: Sensitive and PROTECTED cables are coloured neither salmon pink nor red.
ISM-1718,ISM,Cabling infrastructure,Cable colours,SECRET cables are coloured salmon pink.
ISM-1719,ISM,Cabling infrastructure,Cable colours,TOP SECRET cables are coloured red.
ISM-1216,ISM,Cabling infrastructure,Cable colour non-conformance,SECRET and TOP SECRET cables with non-conformant cable colouring are both banded with the appropriate colour and labelled at inspection points.
ISM-1112,ISM,Cabling infrastructure,Cable inspectability,Cables are inspectable at a minimum of five-metre intervals.
ISM-1119,ISM,Cabling infrastructure,Cable inspectability,Cables in TOP SECRET areas are fully inspectable for their entire length.
ISM-0187,ISM,Cabling infrastructure,Common cable bundles and conduits,"SECRET cables, when bundled together or run in conduit, are run exclusively in their own individual cable bundle or conduit."
ISM-1821,ISM,Cabling infrastructure,Common cable bundles and conduits,"TOP SECRET cables, when bundled together or run in conduit, are run exclusively in their own individual cable bundle or conduit."
ISM-1114,ISM,Cabling infrastructure,Common cable reticulation systems,Cable bundles or conduits sharing a common cable reticulation system have a dividing partition or visible gap between each cable bundle and conduit.
ISM-1130,ISM,Cabling infrastructure,Enclosed cable reticulation systems,"In shared facilities, cables are run in an enclosed cable reticulation system."
ISM-1164,ISM,Cabling infrastructure,Covers for enclosed cable reticulation systems,"In shared facilities, conduits or the front covers of ducts, cable trays in floors and ceilings, and associated fittings are clear plastic."
ISM-0195,ISM,Cabling infrastructure,Sealing cable reticulation systems and conduits,"In shared facilities, uniquely identifiable SCEC-approved tamper-evident seals are used to seal all removable covers on TOP SECRET cable reticulation systems."
ISM-0194,ISM,Cabling infrastructure,Sealing cable reticulation systems and conduits,"In shared facilities, a visible smear of conduit glue is used to seal all plastic conduit joints and TOP SECRET conduits connected by threaded lock nuts."
ISM-0201,ISM,Cabling infrastructure,Labelling conduits,"Labels for TOP SECRET conduits are a minimum size of 2.5 cm x 1 cm, attached at five-metre intervals and marked as ‘TS RUN’."
ISM-1115,ISM,Cabling infrastructure,Cables in walls,Cables from cable trays to wall outlet boxes are run in flexible or plastic conduit.
ISM-1133,ISM,Cabling infrastructure,Cables in party walls,"In shared facilities, TOP SECRET cables are not run in party walls."
ISM-1122,ISM,Cabling infrastructure,Wall penetrations,"Where wall penetrations exit a TOP SECRET area into a lower classified area, TOP SECRET cables are encased in conduit with all gaps between the TOP SECRET conduit and the wall filled with an appropriate sealing compound."
ISM-1105,ISM,Cabling infrastructure,Wall outlet boxes,SECRET and TOP SECRET wall outlet boxes contain exclusively SECRET or TOP SECRET cables.
ISM-1095,ISM,Cabling infrastructure,Labelling wall outlet boxes,"Wall outlet boxes denote the systems, cable identifiers and wall outlet box identifier."
ISM-1822,ISM,Cabling infrastructure,Wall outlet box colours,Wall outlet boxes for individual systems use a consistent colour.
ISM-1107,ISM,Cabling infrastructure,Wall outlet box colours,OFFICIAL: Sensitive and PROTECTED wall outlet boxes are coloured neither salmon pink nor red.
ISM-1720,ISM,Cabling infrastructure,Wall outlet box colours,SECRET wall outlet boxes are coloured salmon pink.
ISM-1721,ISM,Cabling infrastructure,Wall outlet box colours,TOP SECRET wall outlet boxes are coloured red.
ISM-1109,ISM,Cabling infrastructure,Wall outlet box covers,Wall outlet box covers are clear plastic.
ISM-0218,ISM,Cabling infrastructure,Fly lead installation,"If TOP SECRET fibre-optic fly leads exceeding five metres in length are used to connect wall outlet boxes to ICT equipment, they are run in a protective and easily inspected pathway that is clearly labelled at the ICT equipment end with the wall outlet box’s identifier."
ISM-1102,ISM,Cabling infrastructure,Connecting cable reticulation systems to cabinets,Cable reticulation systems leading into cabinets are terminated as close as possible to the cabinet.
ISM-1101,ISM,Cabling infrastructure,Connecting cable reticulation systems to cabinets,"In TOP SECRET areas, cable reticulation systems leading into cabinets in server rooms or communications rooms are terminated as close as possible to the cabinet."
ISM-1103,ISM,Cabling infrastructure,Connecting cable reticulation systems to cabinets,"In TOP SECRET areas, cable reticulation systems leading into cabinets not in server rooms or communications rooms are terminated at the boundary of the cabinet."
ISM-1098,ISM,Cabling infrastructure,Terminating cables in cabinets,"SECRET cables are terminated in an individual cabinet; or for small systems, a cabinet with a division plate between any SECRET cables and non-SECRET cables."
ISM-1100,ISM,Cabling infrastructure,Terminating cables in cabinets,TOP SECRET cables are terminated in an individual TOP SECRET cabinet.
ISM-0213,ISM,Cabling infrastructure,Terminating cables on patch panels,SECRET and TOP SECRET cables are terminated on their own individual patch panels.
ISM-0216,ISM,Cabling infrastructure,Physical separation of cabinets and patch panels,TOP SECRET patch panels are installed in individual TOP SECRET cabinets.
ISM-0217,ISM,Cabling infrastructure,Physical separation of cabinets and patch panels,Where spatial constraints demand non-TOP SECRET patch panels be installed in the same cabinet as a TOP SECRET patch panel: • a physical barrier in the cabinet is provided to separate patch panels • only personnel holding a Positive Vetting security clearance have access to the cabinet • approval from the TOP SECRET system’s authorising officer is obtained prior to installation.
ISM-1116,ISM,Cabling infrastructure,Physical separation of cabinets and patch panels,A visible gap exists between TOP SECRET cabinets and non-TOP SECRET cabinets.
ISM-0198,ISM,Cabling infrastructure,Audio secure rooms,"When penetrating a TOP SECRET audio secure room, the Australian Security Intelligence Organisation is consulted and all directions provided are complied with."
ISM-1123,ISM,Cabling infrastructure,Power reticulation,A power distribution board with a feed from an Uninterruptible Power Supply is used to power all TOP SECRET ICT equipment.
ISM-0248,ISM,Emanation security,Emanation security threat assessments in Australia,System owners deploying OFFICIAL: Sensitive or PROTECTED systems with Radio Frequency transmitters that will be co-located with SECRET or TOP SECRET systems contact ASD for an emanation security threat assessment and implement any additional installation criteria derived from the threat assessment.
ISM-0247,ISM,Emanation security,Emanation security threat assessments in Australia,System owners deploying SECRET or TOP SECRET systems with Radio Frequency transmitters inside or co-located with their facility contact ASD for an emanation security threat assessment and implement any additional installation criteria derived from the threat assessment.
ISM-1137,ISM,Emanation security,Emanation security threat assessments in Australia,System owners deploying SECRET or TOP SECRET systems in shared facilities contact ASD for an emanation security threat assessment and implement any additional installation criteria derived from the threat assessment.
ISM-0249,ISM,Emanation security,Emanation security threat assessments outside Australia,System owners deploying systems or military platforms overseas contact ASD for an emanation security threat assessment and implement any additional installation criteria derived from the threat assessment.
ISM-0246,ISM,Emanation security,Early consideration of emanation security threats,An emanation security threat assessment is sought as early as possible in a system’s life cycle as implementing emanation security can have significant cost implications.
ISM-0250,ISM,Emanation security,Electromagnetic interference/electromagnetic compatibility standards,ICT equipment meets industry and government standards relating to electromagnetic interference/electromagnetic compatibility.
ISM-1078,ISM,Telephone systems,Telephone system usage policy,"A telephone system usage policy is developed, implemented and maintained."
ISM-0229,ISM,Telephone systems,Personnel awareness,Personnel are advised of the permitted sensitivity or classification of information that can be discussed over both internal and external telephone systems.
ISM-0230,ISM,Telephone systems,Personnel awareness,Personnel are advised of security risks posed by non-secure telephone systems in areas where sensitive or classified conversations can occur.
ISM-0231,ISM,Telephone systems,Personnel awareness,"When using cryptographic equipment to permit different levels of conversation for different kinds of connections, telephone systems give a visual indication of what kind of connection has been made."
ISM-0232,ISM,Telephone systems,Protecting conversations,Telephone systems used for sensitive or classified conversations encrypt all traffic that passes over external systems.
ISM-0233,ISM,Telephone systems,Cordless telephone systems,Cordless telephone handsets and headsets are not used for sensitive or classified conversations unless all communications are encrypted.
ISM-0235,ISM,Telephone systems,Speakerphones,"Speakerphones are not used on telephone systems in TOP SECRET areas unless the telephone system is located in an audio secure room, the room is audio secure during conversations and only personnel involved in conversations are present in the room."
ISM-0236,ISM,Telephone systems,Off-hook audio protection,Off-hook audio protection features are used on telephone systems in areas where background conversations may exceed the sensitivity or classification that the telephone system is authorised for communicating.
ISM-0931,ISM,Telephone systems,Off-hook audio protection,"In SECRET and TOP SECRET areas, push-to-talk handsets or push-to-talk headsets are used to meet any off-hook audio protection requirements."
ISM-1562,ISM,Video conferencing and Internet Protocol telephony,Video conferencing and Internet Protocol telephony infrastructure hardening,Video conferencing and IP telephony infrastructure is hardened.
ISM-0546,ISM,Video conferencing and Internet Protocol telephony,Video-aware and voice-aware firewalls and proxies,"When video conferencing or IP telephony traffic passes through a gateway containing a firewall or proxy, a video-aware or voice-aware firewall or proxy is used."
ISM-0548,ISM,Video conferencing and Internet Protocol telephony,Protecting video conferencing and Internet Protocol telephony traffic,Video conferencing and IP telephony calls are established using a secure session initiation protocol.
ISM-0547,ISM,Video conferencing and Internet Protocol telephony,Protecting video conferencing and Internet Protocol telephony traffic,Video conferencing and IP telephony calls are conducted using a secure real-time transport protocol.
ISM-0554,ISM,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,An encrypted and non-replayable two-way authentication scheme is used for call authentication and authorisation.
ISM-0553,ISM,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,"Authentication and authorisation is used for all actions on a video conferencing network, including call setup and changing settings."
ISM-0555,ISM,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,"Authentication and authorisation is used for all actions on an IP telephony network, including registering a new IP phone, changing phone users, changing settings and accessing voicemail."
ISM-0551,ISM,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,IP telephony is configured such that: • IP phones authenticate themselves to the call controller upon registration • auto-registration is disabled and only authorised devices are allowed to access the network • unauthorised devices are blocked by default • all unused and prohibited functionality is disabled.
ISM-1014,ISM,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,Individual logins are implemented for IP phones used for SECRET or TOP SECRET conversations.
ISM-0549,ISM,Video conferencing and Internet Protocol telephony,Traffic separation,Video conferencing and IP telephony traffic is separated physically or logically from other data traffic.
ISM-0556,ISM,Video conferencing and Internet Protocol telephony,Traffic separation,"Workstations are not connected to video conferencing units or IP phones unless the workstation or the device uses Virtual Local Area Networks or similar mechanisms to maintain separation between video conferencing, IP telephony and other data traffic."
ISM-0558,ISM,Video conferencing and Internet Protocol telephony,Internet Protocol phones in public areas,"IP phones used in public areas do not have the ability to access data networks, voicemail and directory services."
ISM-0559,ISM,Video conferencing and Internet Protocol telephony,Microphones and webcams,Microphones (including headsets and USB handsets) and webcams are not used with non-SECRET workstations in SECRET areas.
ISM-1450,ISM,Video conferencing and Internet Protocol telephony,Microphones and webcams,Microphones (including headsets and USB handsets) and webcams are not used with non-TOP SECRET workstations in TOP SECRET areas.
ISM-1019,ISM,Video conferencing and Internet Protocol telephony,Denial of service response plan,"A denial of service response plan for video conferencing and IP telephony services is developed, implemented and maintained."
ISM-1805,ISM,Video conferencing and Internet Protocol telephony,Denial of service response plan,A denial of service response plan for video conferencing and IP telephony services contains the following: • how to identify signs of a denial-of-service attack • how to identify the source of a denial-of-service attack • how capabilities can be maintained during a denial-of-service attack • what actions can be taken to respond to a denial-of-service attack.
ISM-0588,ISM,Fax machines and multifunction devices,Fax machine and multifunction device usage policy,"A fax machine and MFD usage policy is developed, implemented and maintained."
ISM-1092,ISM,Fax machines and multifunction devices,Sending fax messages,Separate fax machines or MFDs are used for sending sensitive or classified fax messages and all other fax messages.
ISM-0241,ISM,Fax machines and multifunction devices,Sending fax messages,"When sending fax messages, the fax message is encrypted to an appropriate level to be communicated over unsecured telecommunications infrastructure."
ISM-1075,ISM,Fax machines and multifunction devices,Receiving fax messages,The sender of a fax message makes arrangements for the receiver to collect the fax message as soon as possible after it is sent and for the receiver to notify the sender if the fax message does not arrive in an agreed amount of time.
ISM-0245,ISM,Fax machines and multifunction devices,Connecting multifunction devices to both networks and digital telephone systems,A direct connection from an MFD to a digital telephone system is not enabled unless the digital telephone system is authorised to operate at the same sensitivity or classification as the network to which the MFD is connected.
ISM-1854,ISM,Fax machines and multifunction devices,Authenticating to multifunction devices,"Users authenticate to MFDs before they can print, scan or copy documents."
ISM-0590,ISM,Fax machines and multifunction devices,Authenticating to multifunction devices,Authentication measures for MFDs are the same strength as those used for workstations on networks they are connected to.
ISM-0589,ISM,Fax machines and multifunction devices,Scanning and copying documents on multifunction devices,MFDs are not used to scan or copy documents above the sensitivity or classification of networks they are connected to.
ISM-1855,ISM,Fax machines and multifunction devices,Auditing multifunction device use,"Use of MFDs for printing, scanning and copying purposes, including the capture of shadow copies of documents, are logged."
ISM-1856,ISM,Fax machines and multifunction devices,Auditing multifunction device use,MFD event logs are stored centrally.
ISM-1036,ISM,Fax machines and multifunction devices,Observing fax machine and multifunction device use,Fax machines and MFDs are located in areas where their use can be observed.
ISM-1297,ISM,Enterprise mobility,Privately-owned mobile devices and desktop computers,Legal advice is sought prior to allowing privately-owned mobile devices and desktop computers to access systems or data.
ISM-1400,ISM,Enterprise mobility,Privately-owned mobile devices and desktop computers,Personnel accessing OFFICIAL: Sensitive or PROTECTED systems or data using privately-owned mobile devices or desktop computers have enforced separation of work data from personal data.
ISM-1866,ISM,Enterprise mobility,Privately-owned mobile devices and desktop computers,Personnel accessing OFFICIAL: Sensitive or PROTECTED systems or data using privately-owned mobile devices or desktop computers are prevented from storing classified data on their privately-owned mobile devices and desktop computers.
ISM-0694,ISM,Enterprise mobility,Privately-owned mobile devices and desktop computers,Privately-owned mobile devices and desktop computers do not access SECRET and TOP SECRET systems or data.
ISM-1482,ISM,Enterprise mobility,Organisation-owned mobile devices and desktop computers,Personnel accessing systems or data using an organisation-owned mobile device or desktop computer are either prohibited from using it for personal purposes or have enforced separation of work data from any personal data.
ISM-0874,ISM,Enterprise mobility,Connecting mobile devices and desktop computers to the internet,Mobile devices and desktop computers access the internet via a VPN connection to an organisation’s internet gateway rather than via a direct connection to the internet.
ISM-0705,ISM,Enterprise mobility,Connecting mobile devices and desktop computers to the internet,"When accessing an organisation’s network via a VPN connection, split tunnelling is disabled."
ISM-1533,ISM,Mobile device management,Mobile device management policy,"A mobile device management policy is developed, implemented and maintained."
ISM-1195,ISM,Mobile device management,Mobile device management policy,"Mobile Device Management solutions that have completed a Common Criteria evaluation against the Protection Profile for Mobile Device Management, version 4.0 or later, are used to enforce mobile device management policy."
ISM-1867,ISM,Mobile device management,Approved mobile platforms,"Mobile devices that access OFFICIAL: Sensitive or PROTECTED systems or data use mobile platforms that have completed a Common Criteria evaluation against the Protection Profile for Mobile Device Fundamentals, version 3.2 or later, and are operated in accordance with the latest version of their associated ASD security configuration guide."
ISM-0687,ISM,Mobile device management,Approved mobile platforms,Mobile devices that access SECRET or TOP SECRET systems or data use mobile platforms that have been issued an Approval for Use by ASD and are operated in accordance with the latest version of their associated Australian Communications Security Instruction.
ISM-0869,ISM,Mobile device management,Data storage,Mobile devices encrypt their internal storage and any removable media.
ISM-1868,ISM,Mobile device management,Data storage,SECRET and TOP SECRET mobile devices do not use removable media unless approved beforehand by ASD.
ISM-1085,ISM,Mobile device management,Data communications,Mobile devices encrypt all sensitive or classified data communicated over public network infrastructure.
ISM-0863,ISM,Mobile device management,Maintaining mobile device security,Mobile devices prevent personnel from installing or uninstalling non-approved applications once provisioned.
ISM-0864,ISM,Mobile device management,Maintaining mobile device security,Mobile devices prevent personnel from disabling or modifying security functionality once provisioned.
ISM-1366,ISM,Mobile device management,Maintaining mobile device security,Security updates are applied to mobile devices as soon as they become available.
ISM-1082,ISM,Mobile device usage,Mobile device usage policy,"A mobile device usage policy is developed, implemented and maintained."
ISM-1083,ISM,Mobile device usage,Personnel awareness,Personnel are advised of the sensitivity or classification permitted for voice and data communications when using mobile devices.
ISM-1299,ISM,Mobile device usage,Personnel awareness,"Personnel are advised to take the following precautions when using mobile devices: • never leave mobile devices or removable media unattended, including by placing them in checked-in luggage or leaving them in hotel safes • never store credentials with mobile devices that they grant access to, such as in laptop computer bags • never lend mobile devices or removable media to untrusted people, even if briefly • never allow untrusted people to connect their mobile devices or removable media to your mobile devices, including for charging • never connect mobile devices to designated charging stations or wall outlet charging ports • never use gifted or unauthorised peripherals, chargers or removable media with mobile devices • never use removable media for data transfers or backups that have not been checked for malicious code beforehand • avoid reuse of removable media once used with other parties’ systems or mobile devices • avoid connecting mobile devices to open or untrusted Wi-Fi networks • consider disabling any communications capabilities of mobile devices when not in use, such as Wi-Fi, Bluetooth, Near Field Communication and ultra-wideband • consider periodically rebooting mobile devices • consider using a VPN connection to encrypt all cellular and wireless communications • consider using encrypted email or messaging apps for all communications."
ISM-0240,ISM,Mobile device usage,"Using paging, message services and messaging apps","Paging, Multimedia Message Service, Short Message Service and messaging apps are not used to communicate sensitive or classified data."
ISM-1196,ISM,Mobile device usage,Using Bluetooth functionality,OFFICIAL: Sensitive and PROTECTED mobile devices are configured to remain undiscoverable to other Bluetooth devices except during Bluetooth pairing.
ISM-1200,ISM,Mobile device usage,Using Bluetooth functionality,"Bluetooth pairing for OFFICIAL: Sensitive and PROTECTED mobile devices is performed using Secure Connections, preferably with Numeric Comparison if supported."
ISM-1198,ISM,Mobile device usage,Using Bluetooth functionality,Bluetooth pairing for OFFICIAL: Sensitive and PROTECTED mobile devices is performed in a manner such that connections are only made between intended Bluetooth devices.
ISM-1199,ISM,Mobile device usage,Using Bluetooth functionality,Bluetooth pairings for OFFICIAL: Sensitive and PROTECTED mobile devices are removed when there is no longer a requirement for their use.
ISM-0682,ISM,Mobile device usage,Using Bluetooth functionality,Bluetooth functionality is not enabled on SECRET and TOP SECRET mobile devices.
ISM-0866,ISM,Mobile device usage,Using mobile devices in public spaces,Sensitive or classified data is not viewed or communicated in public locations unless care is taken to reduce the chance of the screen of a mobile device being observed.
ISM-1145,ISM,Mobile device usage,Using mobile devices in public spaces,Privacy filters are applied to the screens of SECRET and TOP SECRET mobile devices.
ISM-1644,ISM,Mobile device usage,Using mobile devices in public spaces,Sensitive or classified phone calls are not conducted in public locations unless care is taken to reduce the chance of conversations being overheard.
ISM-0871,ISM,Mobile device usage,Maintaining control of mobile devices,Mobile devices are kept under continual direct supervision when being actively used.
ISM-0870,ISM,Mobile device usage,Maintaining control of mobile devices,Mobile devices are carried or stored in a secured state when not being actively used.
